index,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
26,Ballston,38.8831218,-77.11009370000001,Rus Uz,38.882631528041635,-77.10979700088501,Russian Restaurant
27,Ballston,38.8831218,-77.11009370000001,Ballston Therapeutic Massage,38.88111212505588,-77.1104039784911,Massage Studio
28,Ballston,38.8831218,-77.11009370000001,Tivoli,38.88195644958304,-77.11134310780643,Café
29,Ballston,38.8831218,-77.11009370000001,Zoës Kitchen,38.88218664518185,-77.11227249843103,Mediterranean Restaurant
30,Ballston,38.8831218,-77.11009370000001,Philz Coffee,38.880330632814506,-77.11023378648441,Coffee Shop
31,Ballston,38.8831218,-77.11009370000001,Sushi 2 Go,38.881729,-77.111245,Sushi Restaurant
32,Ballston,38.8831218,-77.11009370000001,Uncle Julio's Rio Grande Cafe,38.88247284584755,-77.11297273635864,Mexican Restaurant
33,Ballston,38.8831218,-77.11009370000001,sweetgreen,38.8801004,-77.1086699,Salad Place
34,Ballston,38.8831218,-77.11009370000001,Smoking Kow BBQ,38.881907083490184,-77.11159064117753,Food Truck
35,Ballston,38.8831218,-77.11009370000001,Cigar Connection,38.8824866872157,-77.1095526120908,Smoke Shop
36,Ballston,38.8831218,-77.11009370000001,Willie's Po' Boy Truck,38.88161419029239,-77.1116018793388,Food Truck
37,Ballston,38.8831218,-77.11009370000001,Chipotle Mexican Grill,38.87984041620726,-77.11231187086474,Mexican Restaurant
38,Ballston,38.8831218,-77.11009370000001,IHOP,38.8821,-77.11007,Breakfast Spot
39,Ballston,38.8831218,-77.11009370000001,Nando's Peri-Peri,38.8801752129954,-77.11352011743077,Portuguese Restaurant
40,Ballston,38.8831218,-77.11009370000001,Rustico,38.87995175811034,-77.10846947890431,American Restaurant
41,Ballston,38.8831218,-77.11009370000001,CAVA,38.8801691,-77.1102558,Mediterranean Restaurant
42,Ballston,38.8831218,-77.11009370000001,Potbelly Sandwich Shop,38.881588,-77.112423,Sandwich Place
43,Ballston,38.8831218,-77.11009370000001,Big Buns,38.88076385449305,-77.11369320829722,Burger Joint
44,Ballston,38.8831218,-77.11009370000001,Shake Shack,38.88003382447298,-77.11109254870493,Burger Joint
45,Ballston,38.8831218,-77.11009370000001,Quincy Park,38.884684,-77.106476,Park
46,Ballston,38.8831218,-77.11009370000001,Metro Halal Food,38.880466692233384,-77.11181540420309,Food Truck
47,Ballston,38.8831218,-77.11009370000001,&pizza,38.87966,-77.10725,Pizza Place
48,Ballston,38.8831218,-77.11009370000001,Washington-Lee High School Track,38.88665202821175,-77.11053424930769,Track
49,Ballston,38.8831218,-77.11009370000001,Urban Tandoor,38.880105098383645,-77.10732400417328,Indian Restaurant
50,Ballston,38.8831218,-77.11009370000001,Grand Cru Wine Bar and Cafe,38.8808418277729,-77.113106466419,Wine Bar
51,Ballston,38.8831218,-77.11009370000001,Republik Coffee Bar,38.8806277419544,-77.11341197006206,Coffee Shop
52,Ballston,38.8831218,-77.11009370000001,Hilton Arlington,38.8818893,-77.1106511,Hotel
53,Ballston,38.8831218,-77.11009370000001,Virginia ABC Store,38.880810837362944,-77.10737228393555,Liquor Store
54,Ballston,38.8831218,-77.11009370000001,Dirt,38.88015577993669,-77.11050656859202,American Restaurant
55,Ballston,38.8831218,-77.11009370000001,Tropical Smoothie Café,38.882679054631474,-77.10592526916452,Juice Bar
56,Ballston,38.8831218,-77.11009370000001,Unleashed by Petco,38.879909618504016,-77.10614099511582,Pet Store
57,Ballston,38.8831218,-77.11009370000001,Buzz Bakeshop,38.880119,-77.107912,Bakery
58,Ballston,38.8831218,-77.11009370000001,Mike's Cafe,38.88101127400914,-77.11180257703113,Café
59,Ballston,38.8831218,-77.11009370000001,Ballston Sport&Health,38.87957460283543,-77.11041479233245,Gym / Fitness Center
60,Ballston,38.8831218,-77.11009370000001,Washington & Lee Pool,38.88759003167515,-77.10982706920086,Pool
61,Ballston,38.8831218,-77.11009370000001,NY Famous Kabob,38.880910230380024,-77.11174235626603,Food Truck
62,Ballston,38.8831218,-77.11009370000001,Punch Bowl Social,38.879333285401046,-77.11010196749028,Bar
63,Ballston,38.8831218,-77.11009370000001,7-Eleven,38.8825133,-77.1115016,Convenience Store
64,Ballston,38.8831218,-77.11009370000001,Taste of Arlington,38.88005177555366,-77.10980937928407,Food
65,Ballston,38.8831218,-77.11009370000001,First Down Sports Bar & Grill,38.88249269952601,-77.11129833470412,Sports Bar
66,Ballston,38.8831218,-77.11009370000001,Wells Fargo,38.88280482529612,-77.11023420095444,Bank
67,Ballston,38.8831218,-77.11009370000001,Subway,38.8804669367719,-77.10767812640995,Sandwich Place
68,Ballston,38.8831218,-77.11009370000001,The UPS Store,38.8805874,-77.1113413,Shipping Store
69,Ballston,38.8831218,-77.11009370000001,Ballston Farmers Market,38.8812992703524,-77.11196711900688,Farmers Market
70,Ballston,38.8831218,-77.11009370000001,P.F. Chang's,38.88111150509467,-77.11505413055414,Chinese Restaurant
71,Ballston,38.8831218,-77.11009370000001,Arlington Nutrition Corner,38.87997568139251,-77.10689658417765,Sporting Goods Shop
72,Ballston,38.8831218,-77.11009370000001,Laura Cooks,38.88060021960723,-77.10915883473562,Café
73,Ballston,38.8831218,-77.11009370000001,Sidekick Bakery,38.879718,-77.110873,Bakery
74,Ballston,38.8831218,-77.11009370000001,Welburn Square,38.88095000899723,-77.1125683572653,Plaza
75,Ballston,38.8831218,-77.11009370000001,Starbucks,38.88046364698608,-77.11459844302405,Coffee Shop
76,Ballston,38.8831218,-77.11009370000001,FedEx Office Print & Ship Center,38.882427,-77.115489,Shipping Store
77,Ballston,38.8831218,-77.11009370000001,Starbucks,38.881409,-77.111353,Coffee Shop
78,Ballston,38.8831218,-77.11009370000001,Dunkin',38.88081511606352,-77.11136125532471,Donut Shop
79,Ballston,38.8831218,-77.11009370000001,Hot Lola's,38.87929,-77.11123,Comfort Food Restaurant
80,Ballston,38.8831218,-77.11009370000001,Which Wich Superior Sandwiches,38.88005751142799,-77.11234652343114,Sandwich Place
81,Ballston,38.8831218,-77.11009370000001,The Westin Arlington Gateway,38.880646583178525,-77.1142986417089,Hotel
82,Ballston,38.8831218,-77.11009370000001,TD Bank,38.8802809,-77.1121807,Bank
83,Ballston,38.8831218,-77.11009370000001,PNC Bank,38.880495,-77.11359,Bank
84,Ballston,38.8831218,-77.11009370000001,Capital One Bank,38.87972053,-77.11103864,Bank
85,Ballston,38.8831218,-77.11009370000001,Market Place & Cafe,38.881957749754655,-77.11476537981085,Coffee Shop
86,Ballston,38.8831218,-77.11009370000001,Pinzimini,38.880634442787176,-77.1145975677706,Italian Restaurant
87,Ballston,38.8831218,-77.11009370000001,Safelite AutoGlass,38.885369,-77.112714,Automotive Shop
88,Ballston,38.8831218,-77.11009370000001,the Poop Deck,38.884209,-77.109201,Harbor / Marina
89,Ballston,38.8831218,-77.11009370000001,Bruegger's Bagels,38.88011136236991,-77.1077504754067,Bagel Shop
90,Ballston,38.8831218,-77.11009370000001,Capital Bikeshare - Quincy St,38.883950385833714,-77.10767407775724,Bike Rental / Bike Share
91,Ballston,38.8831218,-77.11009370000001,The Shed - Garden Tool Lending Library,38.883882,-77.106978,Garden Center
92,Ballston,38.8831218,-77.11009370000001,Quincy Park Tennis Courts,38.88387470998581,-77.1062299180496,Tennis Court
93,Ballston,38.8831218,-77.11009370000001,Arlington Market Beer & Wine,38.88568280066659,-77.11287034732362,Liquor Store
94,Ballston,38.8831218,-77.11009370000001,Thai Treasure,38.882688,-77.105724,Thai Restaurant
95,Ballston,38.8831218,-77.11009370000001,Tennis Factory,38.880516,-77.105655,Sporting Goods Shop
96,Barcroft,38.85594570000001,-77.1038675,Goodwill Retail Store,38.85675845918038,-77.10815517226312,Thrift / Vintage Store
97,Barcroft,38.85594570000001,-77.1038675,Pan American Bakery,38.859227711634816,-77.10080788512867,Bakery
98,Barcroft,38.85594570000001,-77.1038675,Evolveall,38.85901074227327,-77.10190136129492,Athletics & Sports
99,Barcroft,38.85594570000001,-77.1038675,Pike,38.85926782817361,-77.10076946080669,Latin American Restaurant
100,Barcroft,38.85594570000001,-77.1038675,Penske Truck Rental,38.858642227491416,-77.10034544907376,Rental Car Location
101,Barcroft,38.85594570000001,-77.1038675,Wells Fargo,38.859564606723886,-77.10158541798592,Bank
102,Barcroft,38.85594570000001,-77.1038675,7-Eleven,38.858389760109,-77.10051253438,Convenience Store
103,Barcroft,38.85594570000001,-77.1038675,Pizza Hut,38.85697887421284,-77.10929945111275,Pizza Place
104,Barcroft,38.85594570000001,-77.1038675,S Thomas St Bus Stop,38.857897780647,-77.1048475543248,Bus Station
105,Barcroft,38.85594570000001,-77.1038675,Comida Latina Express,38.858846091645674,-77.10180180238784,Taco Place
106,Barcroft,38.85594570000001,-77.1038675,Tortas Y Tacos La Chiquita,38.859427,-77.102149,Taco Place
107,Barcroft,38.85594570000001,-77.1038675,Columbia Pike Cleaners,38.85912456414646,-77.10079028094151,Laundry Service
108,Bellevue Forest,38.914278100000004,-77.1135898,Donaldson Run Nature Area,38.91536456290914,-77.11338311457435,Park
109,Bellevue Forest,38.914278100000004,-77.1135898,Bison Builders,38.91658,-77.1164,Home Service
110,Bellevue Forest,38.914278100000004,-77.1135898,The James I. Mayer Center For Environmental Education,38.914543,-77.108018,State / Provincial Park
111,Bellevue Forest,38.914278100000004,-77.1135898,Zachary Taylor Nature Area,38.909865426279914,-77.11355730334873,Trail
112,Bluemont,38.8747413,-77.13302879999999,Bluemont Park,38.87496426748015,-77.13363647460938,Park
113,Bluemont,38.8747413,-77.13302879999999,Bon Air Park,38.87734349676697,-77.13627833556086,Park
114,Bluemont,38.8747413,-77.13302879999999,La Union Restaurant,38.876517659175896,-77.12799838872719,Mexican Restaurant
115,Bluemont,38.8747413,-77.13302879999999,House Of Mandi,38.87665557105814,-77.12787253911665,Middle Eastern Restaurant
116,Bluemont,38.8747413,-77.13302879999999,W & OD Trail Mile Marker 3.5,38.87394545996955,-77.13368282784198,Trail
117,Bluemont,38.8747413,-77.13302879999999,W & OD Trail Bluemont,38.875492095947266,-77.13265991210938,Athletics & Sports
118,Bluemont,38.8747413,-77.13302879999999,Bluemont Junction Soccer Field,38.87294220502088,-77.13270528433853,Soccer Field
119,Bluemont,38.8747413,-77.13302879999999,Dominion Hills Pool,38.87323100997866,-77.13736820726498,Pool
120,Bluemont,38.8747413,-77.13302879999999,Lallaskincare,38.876817,-77.128189,Spa
121,Bonair,38.876033,-77.13345295006609,Bluemont Park,38.87496426748015,-77.13363647460938,Park
122,Bonair,38.876033,-77.13345295006609,Bon Air Park,38.87734349676697,-77.13627833556086,Park
123,Bonair,38.876033,-77.13345295006609,La Union Restaurant,38.876517659175896,-77.12799838872719,Mexican Restaurant
124,Bonair,38.876033,-77.13345295006609,House Of Mandi,38.87665557105814,-77.12787253911665,Middle Eastern Restaurant
125,Bonair,38.876033,-77.13345295006609,W & OD Trail Bluemont,38.875492095947266,-77.13265991210938,Athletics & Sports
126,Bonair,38.876033,-77.13345295006609,W & OD Trail Mile Marker 3.5,38.87394545996955,-77.13368282784198,Trail
127,Bonair,38.876033,-77.13345295006609,Bluemont Junction Soccer Field,38.87294220502088,-77.13270528433853,Soccer Field
128,Bonair,38.876033,-77.13345295006609,Four Mile Run Trail 1.5 Mile Mark,38.878414393387175,-77.13770527897357,Trail
129,Bonair,38.876033,-77.13345295006609,Dominion Hills Pool,38.87323100997866,-77.13736820726498,Pool
130,Bonair,38.876033,-77.13345295006609,Lallaskincare,38.876817,-77.128189,Spa
131,Brandon Village,38.87566760000001,-77.1158122,Lubber Run Park,38.87326202815556,-77.11588354204538,Park
132,Brandon Village,38.87566760000001,-77.1158122,Total Wine & More,38.8798806,-77.1150514,Wine Shop
133,Brandon Village,38.87566760000001,-77.1158122,[solidcore] (solidcore),38.87805632619572,-77.11139117570407,Gym / Fitness Center
134,Brandon Village,38.87566760000001,-77.1158122,Istanbul Grill,38.879161,-77.117458,Turkish Restaurant
135,Brandon Village,38.87566760000001,-77.1158122,Lubber Run Farmers Market,38.87296,-77.11181,Farmers Market
136,Buckingham,38.873445399999994,-77.1066453,Ravi Kabob House,38.87410354044426,-77.10523506501967,Mediterranean Restaurant
137,Buckingham,38.873445399999994,-77.1066453,Ravi Kabob House II,38.8733709937912,-77.10500925779343,Middle Eastern Restaurant
138,Buckingham,38.873445399999994,-77.1066453,Cassiana Spa,38.8744177,-77.1054724,Spa
139,Buckingham,38.873445399999994,-77.1066453,El Paso Cafe,38.87344,-77.10627,Mexican Restaurant
140,Buckingham,38.873445399999994,-77.1066453,Thai Curry,38.8740522829425,-77.10537873546264,Thai Restaurant
141,Buckingham,38.873445399999994,-77.1066453,Harris Teeter,38.87663476510075,-77.10978627204895,Supermarket
142,Buckingham,38.873445399999994,-77.1066453,Pupuseria Doña Azucena,38.87191220029289,-77.10179293720115,Latin American Restaurant
143,Buckingham,38.873445399999994,-77.1066453,Dunkin',38.8713556,-77.1021641,Donut Shop
144,Buckingham,38.873445399999994,-77.1066453,Subway,38.87384382479208,-77.10475202453541,Sandwich Place
145,Buckingham,38.873445399999994,-77.1066453,Bikram Yoga Arlington,38.87743598713553,-77.10881407676234,Yoga Studio
146,Buckingham,38.873445399999994,-77.1066453,CVS pharmacy,38.87371237369639,-77.1051943508763,Pharmacy
147,Buckingham,38.873445399999994,-77.1066453,Popeyes Louisiana Kitchen,38.87332862847677,-77.10624283375734,Fried Chicken Joint
148,Buckingham,38.873445399999994,-77.1066453,Eastern Carry Out,38.87429286955978,-77.10564390050904,Chinese Restaurant
149,Buckingham,38.873445399999994,-77.1066453,La Jarochita #2,38.87187571441471,-77.10212211573382,Mexican Restaurant
150,Buckingham,38.873445399999994,-77.1066453,Tacos El Torito,38.874303554714594,-77.10387539467806,Food Truck
151,Buckingham,38.873445399999994,-77.1066453,Subway - Buckingham,38.872270354842115,-77.1035649720804,Sandwich Place
152,Buckingham,38.873445399999994,-77.1066453,Madison At Ballston Station - Pool,38.87127859796007,-77.10971241067409,Pool
153,Buckingham,38.873445399999994,-77.1066453,Henry Wright Park,38.87161802443,-77.11037064394019,Park
154,Buckingham,38.873445399999994,-77.1066453,Restaurante Monserrate,38.87191095,-77.10196433333333,Latin American Restaurant
155,Buckingham,38.873445399999994,-77.1066453,Pupusería Doña Bessy,38.871985,-77.101816,Latin American Restaurant
156,Buckingham,38.873445399999994,-77.1066453,Lubber Run Farmers Market,38.87296,-77.11181,Farmers Market
157,Buckingham,38.873445399999994,-77.1066453,One Stop New And Used Tires,38.871736,-77.10158,Auto Workshop
158,Carlin Springs,38.87717845,-77.1117832094381,MedStar Capitals Iceplex,38.8784992193289,-77.10980837166716,Skating Rink
159,Carlin Springs,38.87717845,-77.1117832094381,Chipotle Mexican Grill,38.87984041620726,-77.11231187086474,Mexican Restaurant
160,Carlin Springs,38.87717845,-77.1117832094381,Chick-fil-A,38.878688,-77.111358,Fast Food Restaurant
161,Carlin Springs,38.87717845,-77.1117832094381,Nando's Peri-Peri,38.8801752129954,-77.11352011743077,Portuguese Restaurant
162,Carlin Springs,38.87717845,-77.1117832094381,Philz Coffee,38.880330632814506,-77.11023378648441,Coffee Shop
163,Carlin Springs,38.87717845,-77.1117832094381,Harris Teeter,38.87663476510075,-77.10978627204895,Supermarket
164,Carlin Springs,38.87717845,-77.1117832094381,sweetgreen,38.8801004,-77.1086699,Salad Place
165,Carlin Springs,38.87717845,-77.1117832094381,Total Wine & More,38.8798806,-77.1150514,Wine Shop
166,Carlin Springs,38.87717845,-77.1117832094381,Shake Shack,38.88003382447298,-77.11109254870493,Burger Joint
167,Carlin Springs,38.87717845,-77.1117832094381,Sweet Leaf,38.878693,-77.108015,Sandwich Place
168,Carlin Springs,38.87717845,-77.1117832094381,Residence Inn Arlington Ballston,38.878681071173894,-77.10794359445578,Hotel
169,Carlin Springs,38.87717845,-77.1117832094381,CAVA,38.8801691,-77.1102558,Mediterranean Restaurant
170,Carlin Springs,38.87717845,-77.1117832094381,Punch Bowl Social,38.879333285401046,-77.11010196749028,Bar
171,Carlin Springs,38.87717845,-77.1117832094381,Big Buns,38.88076385449305,-77.11369320829722,Burger Joint
172,Carlin Springs,38.87717845,-77.1117832094381,Rustico,38.87995175811034,-77.10846947890431,American Restaurant
173,Carlin Springs,38.87717845,-77.1117832094381,Ballston Therapeutic Massage,38.88111212505588,-77.1104039784911,Massage Studio
174,Carlin Springs,38.87717845,-77.1117832094381,Super Pollo,38.877837,-77.107993,South American Restaurant
175,Carlin Springs,38.87717845,-77.1117832094381,Mussel Bar & Grille,38.8800908335941,-77.1145952682192,American Restaurant
176,Carlin Springs,38.87717845,-77.1117832094381,&pizza,38.87966,-77.10725,Pizza Place
177,Carlin Springs,38.87717845,-77.1117832094381,Ballston Sport&Health,38.87957460283543,-77.11041479233245,Gym / Fitness Center
178,Carlin Springs,38.87717845,-77.1117832094381,Metro Halal Food,38.880466692233384,-77.11181540420309,Food Truck
179,Carlin Springs,38.87717845,-77.1117832094381,Republik Coffee Bar,38.8806277419544,-77.11341197006206,Coffee Shop
180,Carlin Springs,38.87717845,-77.1117832094381,Sweet Leaf,38.88034884304683,-77.11474558888325,Salad Place
181,Carlin Springs,38.87717845,-77.1117832094381,Dirt,38.88015577993669,-77.11050656859202,American Restaurant
182,Carlin Springs,38.87717845,-77.1117832094381,Grand Cru Wine Bar and Cafe,38.8808418277729,-77.113106466419,Wine Bar
183,Carlin Springs,38.87717845,-77.1117832094381,Buzz Bakeshop,38.880119,-77.107912,Bakery
184,Carlin Springs,38.87717845,-77.1117832094381,Potbelly Sandwich Shop,38.881588,-77.112423,Sandwich Place
185,Carlin Springs,38.87717845,-77.1117832094381,Willie's Po' Boy Truck,38.88161419029239,-77.1116018793388,Food Truck
186,Carlin Springs,38.87717845,-77.1117832094381,Starbucks,38.88046364698608,-77.11459844302405,Coffee Shop
187,Carlin Springs,38.87717845,-77.1117832094381,The Westin Arlington Gateway,38.880646583178525,-77.1142986417089,Hotel
188,Carlin Springs,38.87717845,-77.1117832094381,Pinzimini,38.880634442787176,-77.1145975677706,Italian Restaurant
189,Carlin Springs,38.87717845,-77.1117832094381,Lubber Run Farmers Market,38.87296,-77.11181,Farmers Market
190,Cherrydale,38.8970561,-77.1083119,Nails 2005,38.896767743966876,-77.1072024153465,Spa
191,Cherrydale,38.8970561,-77.1083119,Cherrydale Hardware,38.89654,-77.106448,Garden Center
192,Cherrydale,38.8970561,-77.1083119,La Union Grocery,38.89681727259238,-77.11352420235956,Grocery Store
193,Cherrydale,38.8970561,-77.1083119,7-Eleven,38.8971484052635,-77.1073400974273,Convenience Store
194,Cherrydale,38.8970561,-77.1083119,Sun & Moon Yoga studio,38.89666674423932,-77.10700060099084,Yoga Studio
195,Cherrydale,38.8970561,-77.1083119,Essy's Carriage House,38.89667709964136,-77.10844391453647,American Restaurant
196,Cherrydale,38.8970561,-77.1083119,Baskin-Robbins,38.8958223644021,-77.10408331387796,Ice Cream Shop
197,Cherrydale,38.8970561,-77.1083119,Dunkin',38.89570823738945,-77.10400510061169,Donut Shop
198,Cherrydale,38.8970561,-77.1083119,Safeway,38.8967762,-77.1056676,Grocery Store
199,Cherrydale,38.8970561,-77.1083119,Gaijin Ramen Shop,38.89648803416979,-77.1067578199716,Ramen Restaurant
200,Cherrydale,38.8970561,-77.1083119,Portabellos,38.896991409464945,-77.10703909917348,American Restaurant
201,Cherrydale,38.8970561,-77.1083119,fit to be tan,38.896534926529185,-77.10623553738179,Health & Beauty Service
202,Cherrydale,38.8970561,-77.1083119,Billy's Cheese Steaks,38.89680614280188,-77.10771838345168,American Restaurant
203,Claremont,38.8431682,-77.10470090000001,Dunkin',38.84254679636186,-77.10888388591222,Donut Shop
204,Claremont,38.8431682,-77.10470090000001,Wendy's,38.843201,-77.108834,Fast Food Restaurant
205,Claremont,38.8431682,-77.10470090000001,Potbelly Sandwich Shop,38.842272,-77.109346,Sandwich Place
206,Claremont,38.8431682,-77.10470090000001,7-Eleven,38.8430028737394,-77.1084916591917,Convenience Store
207,Claremont,38.8431682,-77.10470090000001,Baskin Robbins,38.84426171911086,-77.10627125626971,Ice Cream Shop
208,Claremont,38.8431682,-77.10470090000001,Wells Fargo,38.84217071655501,-77.10725963115698,Bank
209,Claremont,38.8431682,-77.10470090000001,Taco Bell,38.84282874798853,-77.10817842258174,Fast Food Restaurant
210,Claremont,38.8431682,-77.10470090000001,Redbox,38.84294642086602,-77.10868578540571,Video Store
211,Claremont,38.8431682,-77.10470090000001,Popeyes Louisiana Kitchen,38.84228189868045,-77.1081805498535,Cajun / Creole Restaurant
212,Claremont,38.8431682,-77.10470090000001,TGI Fridays,38.841855,-77.108495,American Restaurant
213,Claremont,38.8431682,-77.10470090000001,Domino's Pizza,38.84231068676969,-77.1095609664917,Pizza Place
214,Claremont,38.8431682,-77.10470090000001,Ultimate Results Personal Training & Wellness,38.8442501751356,-77.10619165303285,Gym / Fitness Center
215,Claremont,38.8431682,-77.10470090000001,Claremont Mini Park,38.8443238634078,-77.10615616424182,Park
216,Claremont,38.8431682,-77.10470090000001,Bauer's Optical-King Street,38.8425440033527,-77.10887097514234,Optical Shop
217,Claremont,38.8431682,-77.10470090000001,uBreakiFix,38.8419401,-77.1087331,Other Repair Shop
218,Claremont,38.8431682,-77.10470090000001,China Delight,38.84248,-77.108943,Chinese Restaurant
219,Claremont,38.8431682,-77.10470090000001,Running Trail,38.83943319093623,-77.10567360285782,Trail
220,Claremont,38.8431682,-77.10470090000001,Paraiso Latino,38.843337569745096,-77.11010157548019,Latin American Restaurant
221,Claremont,38.8431682,-77.10470090000001,Alexander Apts Gym,38.83869490015485,-77.10494423247953,Gym
222,Clarendon,38.8857615,-77.09697109999999,Northside Social,38.88543,-77.097829,Coffee Shop
223,Clarendon,38.8857615,-77.09697109999999,Lyon Hall,38.88537082794702,-77.09502339363098,French Restaurant
224,Clarendon,38.8857615,-77.09697109999999,Gyu-Kaku,38.88685098182672,-77.09626882848558,Japanese Restaurant
225,Clarendon,38.8857615,-77.09697109999999,Trader Joe's,38.88664,-77.094678,Grocery Store
226,Clarendon,38.8857615,-77.09697109999999,sweetgreen,38.8865318,-77.0953846,Salad Place
227,Clarendon,38.8857615,-77.09697109999999,The Liberty Tavern,38.88621101639649,-77.09675307387367,American Restaurant
228,Clarendon,38.8857615,-77.09697109999999,Pacers,38.886937443768254,-77.09519842868569,Sporting Goods Shop
229,Clarendon,38.8857615,-77.09697109999999,Peet's Coffee & Tea,38.885822,-77.094468,Coffee Shop
230,Clarendon,38.8857615,-77.09697109999999,The Lot Beer Garden,38.884641,-77.09805,Beer Garden
231,Clarendon,38.8857615,-77.09697109999999,South Block,38.886335,-77.09406,Juice Bar
232,Clarendon,38.8857615,-77.09697109999999,Moby Dick House of Kabob,38.88504303618905,-77.09449499845505,Persian Restaurant
233,Clarendon,38.8857615,-77.09697109999999,Spirits of '76,38.886128151736735,-77.09727090089469,Bar
234,Clarendon,38.8857615,-77.09697109999999,UFC Gym Arlington,38.88757800950068,-77.09597528244231,Gym / Fitness Center
235,Clarendon,38.8857615,-77.09697109999999,Kabob Bazaar,38.887109978025464,-77.0957824587822,Persian Restaurant
236,Clarendon,38.8857615,-77.09697109999999,Massage Envy - Clarendon Center,38.886475,-77.093994,Spa
237,Clarendon,38.8857615,-77.09697109999999,Pamplona,38.88625219506061,-77.09549970835316,Spanish Restaurant
238,Clarendon,38.8857615,-77.09697109999999,Oby Lee,38.884769,-77.093762,Café
239,Clarendon,38.8857615,-77.09697109999999,Silver Diner,38.885606930809885,-77.09717271921977,Diner
240,Clarendon,38.8857615,-77.09697109999999,Detour Coffee,38.884312065988844,-77.0991066529839,Coffee Shop
241,Clarendon,38.8857615,-77.09697109999999,Revolve Fitness DC,38.88575147505398,-77.09293377446504,Cycle Studio
242,Clarendon,38.8857615,-77.09697109999999,Nam-Viet,38.88708351802625,-77.09649011266427,Vietnamese Restaurant
243,Clarendon,38.8857615,-77.09697109999999,Cava Mezze,38.887463,-77.093572,Greek Restaurant
244,Clarendon,38.8857615,-77.09697109999999,Delhi Club,38.88718642795953,-77.09479550879894,Indian Restaurant
245,Clarendon,38.8857615,-77.09697109999999,Don Tito,38.88666,-77.0963,Mexican Restaurant
246,Clarendon,38.8857615,-77.09697109999999,Bakeshop,38.885835,-77.092718,Bakery
247,Clarendon,38.8857615,-77.09697109999999,Mind The Mat,38.884500552483765,-77.09991924174874,Yoga Studio
248,Clarendon,38.8857615,-77.09697109999999,Pete's New Haven Style Apizza,38.8874419358066,-77.09442257881165,Pizza Place
249,Clarendon,38.8857615,-77.09697109999999,Screwtop Wine Bar,38.88538544283094,-77.09265232086182,Wine Bar
